Frequency Band,dB Value
14140,-55.953125
15160,-61.578125
16250,-68.9296875
17410,-69.296875
18660,-70.6328125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-88.8359375
30,-87.5859375
32,-86.2265625
34,-84.921875
36,-83.3984375
39,-82.0703125
42,-80.8046875
45,-79.2265625
48,-77.796875
52,-76.2890625
55,-74.515625
59,-73.09375
63,-71.234375
68,-68.9375
73,-66.6484375
78,-73.15625
84,-71.59375
90,-72.140625
96,-67.8125
103,-65.28125
110,-61.4921875
118,-55.3671875
127,-48.8515625
136,-48.3515625
146,-42.6484375
156,-36.84375
167,-30.203125
179,-26.328125
192,-35.71875
206,-32.0625
221,-34.96875
237,-42.4609375
254,-43.984375
272,-45.890625
292,-39.1875
313,-31.71875
335,-27.8359375
359,-27.7109375
385,-33.53125
412,-29.359375
442,-28.296875
474,-25.859375
508,-29.125
544,-40.6328125
583,-39.328125
625,-31.5390625
670,-32.734375
718,-40.5546875
769,-34.90625
825,-36.546875
884,-36.0234375
947,-40.984375
1020,-35.2265625
1090,-38.5546875
1170,-35.7265625
1250,-32.7421875
1340,-33.0859375
1440,-33.2109375
1540,-33.9453125
1650,-31.84375
1770,-38.6015625
1890,-30.6015625
2030,-29.7734375
2180,-32.3359375
2330,-33.984375
2500,-39.0703125
2680,-39.78125
2870,-39.484375
3080,-39.4296875
3300,-43.1640625
3540,-34.9765625
3790,-40.140625
4060,-39.703125
4350,-37.6640625
4670,-39.4140625
5000,-35.96875
5360,-40.71875
5740,-43.7265625
6160,-39.953125
6600,-36.53125
7070,-42.109375
7580,-43.5859375
8120,-43.3046875
8710,-41.1953125
9330,-42.6875
10000,-46.3125
10720,-49.7265625
11490,-49.5
12310,-49.7578125
13200,-54.25
14140,-55.5
15160,-66.296875
16250,-65.8359375
17410,-64.0703125
18660,-64.1796875
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-89.171875
32,-87.953125
34,-86.4296875
36,-84.96875
39,-83.171875
42,-82.3984375
45,-80.53125
48,-78.3359375
52,-77.21875
55,-74.90625
59,-72.53125
63,-70.359375
68,-68.40625
73,-65.046875
78,-66.1171875
84,-59.8984375
90,-53.3671875
96,-47.4765625
103,-42.4375
110,-38.2734375
118,-35.046875
127,-33.1796875
136,-32.0546875
146,-31.4453125
156,-32.1796875
167,-23.7890625
179,-23.1015625
192,-25.375
206,-25.0078125
221,-29.5703125
237,-38.8828125
254,-40.0
272,-42.296875
292,-42.1875
313,-34.34375
335,-24.15625
359,-14.8671875
385,-12.3046875
412,-9.2890625
442,-13.96875
474,-28.4609375
508,-19.53125
544,-21.3515625
583,-25.1953125
625,-14.3125
670,-7.8671875
718,-4.65625
769,-20.7109375
825,-8.3671875
884,-6.0546875
947,-14.2578125
1020,-9.5546875
1090,-7.5
1170,-11.6328125
1250,-7.796875
1340,-22.7421875
1440,-16.6171875
1540,-32.7109375
1650,-27.8203125
1770,-29.1640625
1890,-26.8515625
2030,-29.2421875
2180,-28.1484375
2330,-20.8984375
2500,-22.1875
2680,-22.328125
2870,-31.6953125
3080,-34.40625
3300,-32.359375
3540,-31.5859375
3790,-31.109375
4060,-27.90625
4350,-25.0234375
4670,-20.8828125
5000,-19.625
5360,-21.7421875
5740,-31.3671875
6160,-27.0234375
6600,-22.640625
7070,-27.7578125
7580,-25.484375
8120,-24.1484375
8710,-21.6796875
9330,-29.265625
10000,-30.3828125
10720,-35.140625
11490,-40.484375
12310,-46.5
13200,-51.109375
14140,-60.265625
15160,-61.703125
16250,-65.75
17410,-66.921875
18660,-67.1328125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-88.8671875
39,-87.6640625
42,-86.5234375
45,-85.0546875
48,-83.7734375
52,-81.6875
55,-79.375
59,-77.9140625
63,-76.015625
68,-73.7578125
73,-71.6015625
78,-74.4453125
84,-73.5546875
90,-62.9296875
96,-66.4296875
103,-57.9453125
110,-51.6953125
118,-46.609375
127,-44.3203125
136,-46.4375
146,-34.8203125
156,-28.1640625
167,-26.515625
179,-22.4609375
192,-18.765625
206,-38.265625
221,-48.5234375
237,-43.7265625
254,-42.953125
272,-37.2265625
292,-24.4296875
313,-15.625
335,-12.9375
359,-8.3203125
385,-5.453125
412,-28.2421875
442,-32.921875
474,-32.953125
508,-34.0546875
544,-31.3984375
583,-26.5859375
625,-33.265625
670,-26.8203125
718,-20.3671875
769,-26.5234375
825,-27.3203125
884,-25.0078125
947,-30.3671875
1020,-28.5078125
1090,-25.5
1170,-20.171875
1250,-26.6953125
1340,-21.59375
1440,-25.0625
1540,-27.796875
1650,-25.8515625
1770,-25.53125
1890,-22.28125
2030,-25.375
2180,-27.9921875
2330,-29.140625
2500,-33.9609375
2680,-37.859375
2870,-38.5078125
3080,-35.8046875
3300,-30.609375
3540,-23.4453125
3790,-27.96875
4060,-27.2421875
4350,-25.2421875
4670,-28.90625
5000,-26.375
5360,-25.3203125
5740,-27.34375
6160,-28.40625
6600,-26.8984375
7070,-29.53125
7580,-24.2109375
8120,-24.0390625
8710,-23.875
9330,-26.7109375
10000,-26.6875
10720,-31.5390625
11490,-40.0
12310,-43.703125
13200,-50.4140625
14140,-57.5
15160,-65.1640625
16250,-67.9296875
17410,-68.9609375
18660,-71.2734375
20,-90.0
21,-90.0
22,-89.828125
24,-88.90625
26,-87.3828125
28,-85.8984375
30,-85.03125
32,-83.2890625
34,-82.625
36,-81.0
39,-79.765625
42,-78.390625
45,-77.296875
48,-75.921875
52,-72.5078125
55,-71.6640625
59,-68.671875
63,-66.8828125
68,-64.609375
73,-63.6171875
78,-68.328125
84,-64.1484375
90,-62.84375
96,-58.59375
103,-59.703125
110,-55.7265625
118,-49.6640625
127,-48.7578125
136,-40.40625
146,-36.8203125
156,-29.7578125
167,-23.28125
179,-14.578125
192,-14.46875
206,-21.78125
221,-29.28125
237,-36.75
254,-34.4140625
272,-29.9921875
292,-33.6171875
313,-34.421875
335,-27.3828125
359,-21.109375
385,-13.328125
412,-22.921875
442,-26.0703125
474,-30.6640625
508,-29.5
544,-26.7109375
583,-15.890625
625,-11.6328125
670,-10.9609375
718,-22.2578125
769,-22.6640625
825,-23.46875
884,-21.6953125
947,-20.3046875
1020,-23.5625
1090,-13.8984375
1170,-17.9296875
1250,-19.9453125
1340,-23.2421875
1440,-26.8359375
1540,-21.9375
1650,-22.0546875
1770,-21.671875
1890,-16.3046875
2030,-16.53125
2180,-18.6015625
2330,-19.6640625
2500,-12.75
2680,-16.8125
2870,-20.2421875
3080,-23.3046875
3300,-14.859375
3540,-15.1328125
3790,-20.3359375
4060,-16.5390625
4350,-18.4296875
4670,-17.84375
5000,-18.8671875
5360,-16.515625
5740,-18.953125
6160,-18.46875
6600,-18.2890625
7070,-16.5
7580,-19.4765625
8120,-20.546875
8710,-23.171875
9330,-26.6484375
10000,-28.140625
10720,-32.46875
11490,-36.421875
12310,-38.75
13200,-45.7734375
14140,-52.890625
15160,-57.71875
16250,-65.609375
17410,-65.1328125
18660,-69.5234375
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-90.0
39,-90.0
42,-90.0
45,-90.0
48,-90.0
52,-90.0
55,-90.0
59,-88.7734375
63,-86.4921875
68,-84.7578125
73,-83.03125
78,-81.8984375
84,-79.40625
90,-70.34375
96,-62.6171875
103,-57.296875
110,-52.796875
118,-46.7265625
127,-41.734375
136,-37.3671875
146,-32.1796875
156,-29.234375
167,-28.65625
179,-26.5390625
192,-31.5234375
206,-39.375
221,-44.09375
237,-39.0234375
254,-34.96875
272,-33.09375
292,-29.5625
313,-27.546875
335,-27.53125
359,-28.671875
385,-32.6328125
412,-36.5546875
442,-29.2734375
474,-27.84375
508,-28.0546875
544,-26.6484375
583,-28.8125
625,-30.5
670,-29.9765625
718,-29.375
769,-32.671875
825,-38.8046875
884,-33.25
947,-24.671875
1020,-37.0078125
1090,-26.8828125
1170,-32.15625
1250,-29.8515625
1340,-35.1875
1440,-30.90625
1540,-35.6953125
1650,-36.625
1770,-34.0625
1890,-36.453125
2030,-36.03125
2180,-32.7890625
2330,-39.8125
2500,-32.8984375
2680,-36.9609375
2870,-40.3984375
3080,-42.3984375
3300,-35.0078125
3540,-35.28125
3790,-40.484375
4060,-36.6875
4350,-38.5859375
4670,-37.9921875
5000,-39.0234375
5360,-36.671875
5740,-39.109375
6160,-38.625
6600,-38.3671875
7070,-36.5703125
7580,-39.546875
8120,-40.625
8710,-43.2421875
9330,-46.71875
10000,-48.2265625
10720,-51.90625
11490,-56.5
12310,-58.8359375
13200,-64.359375
14140,-72.296875
15160,-73.2890625
16250,-75.0625
17410,-77.3125
18660,-75.8125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-90.0
39,-90.0
42,-88.34375
45,-87.1953125
48,-85.671875
52,-81.9296875
55,-78.4375
59,-76.171875
63,-74.8671875
68,-72.5859375
73,-68.421875
78,-65.7421875
84,-62.3984375
90,-58.5
96,-54.3515625
103,-50.7109375
110,-48.7265625
118,-47.3515625
127,-49.078125
136,-48.3984375
146,-42.15625
156,-36.109375
167,-34.109375
179,-32.3125
192,-30.84375
206,-30.78125
221,-18.5546875
237,-29.6953125
254,-31.5234375
272,-37.5
292,-34.4375
313,-41.0546875
335,-34.8828125
359,-29.21875
385,-24.4375
412,-27.5546875
442,-14.7578125
474,-28.6015625
508,-42.46875
544,-41.40625
583,-40.09375
625,-35.9375
670,-22.9296875
718,-42.8359375
769,-42.171875
825,-39.296875
884,-24.0390625
947,-43.46875
1020,-45.0
1090,-42.9296875
1170,-47.4296875
1250,-44.0703125
1340,-41.109375
1440,-43.609375
1540,-40.1796875
1650,-37.46875
1770,-31.71875
1890,-27.7265625
2030,-24.7421875
2180,-31.265625
2330,-33.2421875
2500,-29.3203125
2680,-28.7578125
2870,-24.125
3080,-33.609375
3300,-30.40625
3540,-25.296875
3790,-23.8203125
4060,-26.5390625
4350,-21.5546875
4670,-19.96875
5000,-16.25
5360,-11.9453125
5740,-17.0703125
6160,-20.375
6600,-16.1953125
7070,-20.734375
7580,-25.8671875
8120,-20.09375
8710,-24.2109375
9330,-23.4296875
10000,-21.671875
10720,-25.3125
11490,-34.3046875
12310,-38.0625
13200,-39.546875
14140,-45.5625
15160,-50.53125
16250,-54.4140625
17410,-58.9296875
18660,-60.984375
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-90.0
39,-89.84375
42,-88.640625
45,-86.984375
48,-85.8359375
52,-84.375
55,-82.5703125
59,-82.4296875
63,-79.640625
68,-78.6640625
73,-76.2890625
78,-76.5
84,-78.078125
90,-73.1875
96,-70.0078125
103,-67.3828125
110,-62.953125
118,-60.0625
127,-55.1328125
136,-53.984375
146,-43.6484375
156,-26.1328125
167,-24.21875
179,-24.0859375
192,-25.8359375
206,-26.1640625
221,-37.3515625
237,-48.4921875
254,-49.546875
272,-44.5625
292,-38.7109375
313,-23.40625
335,-15.0390625
359,-11.4140625
385,-12.8359375
412,-11.703125
442,-29.5859375
474,-33.2421875
508,-30.609375
544,-25.0625
583,-21.546875
625,-25.640625
670,-30.796875
718,-30.40625
769,-29.5234375
825,-32.0625
884,-35.453125
947,-35.828125
1020,-39.9296875
1090,-37.8125
1170,-31.40625
1250,-36.5859375
1340,-26.5
1440,-33.546875
1540,-18.4296875
1650,-20.6328125
1770,-21.1953125
1890,-20.53125
2030,-21.59375
2180,-28.28125
2330,-29.7265625
2500,-24.734375
2680,-22.734375
2870,-31.421875
3080,-33.9296875
3300,-30.3671875
3540,-30.0546875
3790,-33.6328125
4060,-36.3984375
4350,-31.265625
4670,-32.4921875
5000,-33.875
5360,-26.5859375
5740,-31.046875
6160,-32.640625
6600,-34.125
7070,-35.140625
7580,-37.15625
8120,-38.0234375
8710,-37.7890625
9330,-38.65625
10000,-37.71875
10720,-41.09375
11490,-43.0546875
12310,-47.6640625
13200,-53.984375
14140,-59.4453125
15160,-61.6484375
16250,-66.953125
17410,-70.9453125
18660,-71.3125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-90.0
39,-90.0
42,-90.0
45,-90.0
48,-89.7734375
52,-88.6015625
55,-86.4140625
59,-85.15625
63,-82.9765625
68,-81.140625
73,-81.21875
78,-83.4296875
84,-81.125
90,-74.625
96,-65.8984375
103,-68.078125
110,-63.4140625
118,-66.125
127,-60.2265625
136,-57.078125
146,-46.6328125
156,-39.5234375
167,-31.453125
179,-25.03125
192,-23.1328125
206,-22.75
221,-27.4453125
237,-33.546875
254,-38.609375
272,-50.8046875
292,-44.2890625
313,-35.640625
335,-23.90625
359,-21.8203125
385,-21.953125
412,-17.2265625
442,-16.28125
474,-29.625
508,-43.9765625
544,-37.28125
583,-36.515625
625,-33.09375
670,-34.890625
718,-31.6015625
769,-32.1484375
825,-32.859375
884,-34.3828125
947,-29.296875
1020,-25.40625
1090,-23.1484375
1170,-28.375
1250,-41.984375
1340,-34.6484375
1440,-39.4140625
1540,-35.84375
1650,-39.90625
1770,-40.46875
1890,-39.8046875
2030,-40.8671875
2180,-44.6875
2330,-37.640625
2500,-35.7109375
2680,-35.578125
2870,-41.96875
3080,-38.0859375
3300,-32.3671875
3540,-32.546875
3790,-30.40625
4060,-27.25
4350,-28.84375
4670,-29.140625
5000,-25.3984375
5360,-28.125
5740,-25.4375
6160,-26.6484375
6600,-23.7421875
7070,-24.6640625
7580,-23.2890625
8120,-25.7421875
8710,-28.2890625
9330,-25.0078125
10000,-27.0859375
10720,-32.40625
11490,-40.171875
12310,-36.6484375
13200,-44.375
14140,-51.9296875
15160,-56.71875
16250,-64.4765625
17410,-70.9921875
18660,-69.78125
20,-90.0
21,-90.0
22,-90.0
24,-90.0
26,-90.0
28,-90.0
30,-90.0
32,-90.0
34,-90.0
36,-89.484375
39,-88.546875
42,-86.9765625
45,-84.8671875
48,-83.9375
52,-82.265625
55,-80.8828125
59,-79.375
63,-77.328125
68,-76.1484375
73,-73.9140625
78,-81.9375
84,-80.3828125
90,-75.234375
96,-72.1015625
103,-63.78125
110,-60.59375
118,-50.8125
127,-42.0390625
136,-30.8203125
146,-28.3046875
156,-25.1171875
167,-27.609375
179,-29.5
192,-28.59375
206,-28.015625
221,-25.09375
237,-45.34375
254,-40.7890625
272,-25.578125
292,-18.2265625
313,-18.7578125
335,-17.9375
359,-17.2890625
385,-18.28125
412,-23.78125
442,-18.9140625
474,-33.6796875
508,-37.9140625
544,-28.6953125
583,-22.5078125
625,-32.1484375
670,-31.375
718,-23.2265625
769,-22.046875
825,-36.25
884,-24.1953125
947,-25.3359375
1020,-31.6640625
1090,-30.53125
1170,-29.796875
1250,-28.3515625
1340,-24.09375
1440,-28.9765625
1540,-33.28125
1650,-38.3203125
1770,-29.828125
1890,-26.34375
2030,-36.2265625
2180,-37.0234375
2330,-36.8671875
2500,-34.0859375
2680,-33.2421875
2870,-42.4609375
3080,-44.421875
3300,-44.5078125
3540,-43.5703125
3790,-40.4140625
4060,-40.6640625
4350,-46.8125
4670,-39.8046875
5000,-36.171875
5360,-32.828125
5740,-36.015625
6160,-36.796875
6600,-38.0
7070,-43.4609375
7580,-42.0859375
8120,-37.1328125
8710,-41.171875
9330,-37.53125
10000,-42.578125
10720,-46.3515625
11490,-45.765625
12310,-53.5390625
13200,-53.828125
14140,-61.1796875
15160,-64.3203125
16250,-69.3046875
17410,-70.984375
18660,-68.4609375
