Address,Args
/dca/1/fader,"(0.6129032373428345,)"
/dca/2/fader,"(0.6246334314346313,)"
/dca/1/fader,"(0.6119257211685181,)"
/dca/2/fader,"(0.6236559152603149,)"
/dca/1/fader,"(0.6089931726455688,)"
/dca/2/fader,"(0.6217008829116821,)"
/dca/1/fader,"(0.6080156564712524,)"
/dca/2/fader,"(0.6207233667373657,)"
/dca/1/fader,"(0.607038140296936,)"
/dca/2/fader,"(0.6197458505630493,)"
/dca/1/fader,"(0.6060606241226196,)"
/dca/1/fader,"(0.6050831079483032,)"
/dca/2/fader,"(0.6187683343887329,)"
/dca/1/fader,"(0.6041055917739868,)"
/dca/2/fader,"(0.6177908182144165,)"
/dca/1/fader,"(0.6031280755996704,)"
/dca/2/fader,"(0.6168133020401001,)"
/dca/1/fader,"(0.602150559425354,)"
/dca/2/fader,"(0.6158357858657837,)"
/dca/2/fader,"(0.6148582696914673,)"
/dca/1/fader,"(0.6011730432510376,)"
/dca/1/fader,"(0.6001955270767212,)"
/dca/2/fader,"(0.6138807535171509,)"
/dca/2/fader,"(0.6129032373428345,)"
/dca/1/fader,"(0.5982404947280884,)"
/dca/1/fader,"(0.597262978553772,)"
/dca/1/fader,"(0.5962854623794556,)"
/dca/2/fader,"(0.6099706888198853,)"
/dca/1/fader,"(0.5953079462051392,)"
/dca/1/fader,"(0.5943304300308228,)"
/dca/2/fader,"(0.6089931726455688,)"
/dca/1/fader,"(0.5933528542518616,)"
/dca/2/fader,"(0.6080156564712524,)"
/dca/1/fader,"(0.5923753380775452,)"
/dca/2/fader,"(0.607038140296936,)"
/dca/1/fader,"(0.5913978219032288,)"
/dca/2/fader,"(0.6060606241226196,)"
/dca/1/fader,"(0.5904203057289124,)"
/dca/1/fader,"(0.589442789554596,)"
/dca/2/fader,"(0.6050831079483032,)"
/dca/1/fader,"(0.5884652733802795,)"
/dca/2/fader,"(0.6041055917739868,)"
/dca/1/fader,"(0.5874877572059631,)"
/dca/2/fader,"(0.6031280755996704,)"
/dca/1/fader,"(0.5855327248573303,)"
/dca/2/fader,"(0.602150559425354,)"
/dca/1/fader,"(0.5845552086830139,)"
/dca/2/fader,"(0.6011730432510376,)"
/dca/1/fader,"(0.5835776925086975,)"
/dca/2/fader,"(0.6001955270767212,)"
/dca/1/fader,"(0.5826001763343811,)"
/dca/2/fader,"(0.5982404947280884,)"
/dca/1/fader,"(0.5816226601600647,)"
/dca/1/fader,"(0.5806451439857483,)"
/dca/2/fader,"(0.597262978553772,)"
/dca/1/fader,"(0.5796676278114319,)"
/dca/2/fader,"(0.5962854623794556,)"
/dca/1/fader,"(0.5786901116371155,)"
/dca/2/fader,"(0.5953079462051392,)"
/dca/1/fader,"(0.5777125954627991,)"
/dca/2/fader,"(0.5943304300308228,)"
/dca/1/fader,"(0.5767350792884827,)"
/dca/2/fader,"(0.589442789554596,)"
/dca/2/fader,"(0.5884652733802795,)"
/dca/2/fader,"(0.5874877572059631,)"
/dca/2/fader,"(0.5865102410316467,)"
/dca/2/fader,"(0.5855327248573303,)"
/dca/1/fader,"(0.5718474984169006,)"
/dca/1/fader,"(0.5708699822425842,)"
/dca/2/fader,"(0.5806451439857483,)"
/dca/1/fader,"(0.5698924660682678,)"
/dca/2/fader,"(0.5796676278114319,)"
/dca/2/fader,"(0.5786901116371155,)"
/dca/1/fader,"(0.5689149498939514,)"
/dca/2/fader,"(0.5777125954627991,)"
/dca/2/fader,"(0.5767350792884827,)"
/dca/1/fader,"(0.567937433719635,)"
/dca/2/fader,"(0.5757575631141663,)"
/dca/1/fader,"(0.5659824013710022,)"
/dca/2/fader,"(0.5747800469398499,)"
/dca/1/fader,"(0.5650048851966858,)"
/dca/2/fader,"(0.5738025307655334,)"
/dca/1/fader,"(0.5620723366737366,)"
/dca/2/fader,"(0.5718474984169006,)"
/dca/1/fader,"(0.5610948204994202,)"
/dca/2/fader,"(0.5708699822425842,)"
/dca/1/fader,"(0.5601173043251038,)"
/dca/1/fader,"(0.5591397881507874,)"
/dca/1/fader,"(0.558162271976471,)"
/dca/2/fader,"(0.5659824013710022,)"
/dca/2/fader,"(0.5650048851966858,)"
/dca/2/fader,"(0.5640273690223694,)"
/dca/1/fader,"(0.5522971749305725,)"
/dca/1/fader,"(0.5513196587562561,)"
/dca/2/fader,"(0.5591397881507874,)"
/dca/1/fader,"(0.5503421425819397,)"
/dca/2/fader,"(0.558162271976471,)"
/dca/1/fader,"(0.5493646264076233,)"
/dca/2/fader,"(0.5571847558021545,)"
/dca/1/fader,"(0.5483871102333069,)"
/dca/2/fader,"(0.5562072396278381,)"
/dca/1/fader,"(0.5474095940589905,)"
/dca/2/fader,"(0.5542522072792053,)"
/dca/1/fader,"(0.5454545617103577,)"
/dca/2/fader,"(0.5532746911048889,)"
/dca/1/fader,"(0.5434995293617249,)"
/dca/2/fader,"(0.5513196587562561,)"
/dca/1/fader,"(0.5425220131874084,)"
/dca/1/fader,"(0.541544497013092,)"
