Frequency Band,dB Value
Band 49,-67.90625
Band 50,-75.859375
Band 51,-74.0078125
Band 52,-66.484375
Band 53,-64.140625
Band 54,-68.796875
Band 55,-63.1328125
Band 56,-74.8046875
Band 57,-73.1484375
Band 58,-74.0546875
Band 59,-72.8203125
Band 60,-77.8671875
Band 61,-76.6640625
Band 62,-73.828125
Band 63,-74.078125
Band 64,-76.84375
Band 65,-70.6015625
Band 66,-85.84375
Band 67,-76.4765625
Band 68,-84.421875
Band 69,-82.765625
Band 70,-87.8515625
Band 71,-86.703125
Band 72,-80.234375
Band 73,-82.078125
Band 74,-82.84375
Band 75,-85.96875
Band 76,-88.125
Band 77,-76.0234375
Band 78,-75.9296875
Band 79,-75.5
Band 80,-70.3984375
Band 81,-67.796875
Band 82,-69.734375
Band 83,-77.359375
Band 84,-70.6328125
Band 85,-66.921875
Band 86,-72.6953125
Band 87,-71.0546875
Band 88,-69.015625
Band 89,-71.3671875
Band 90,-79.234375
Band 91,-77.5234375
Band 92,-84.171875
Band 93,-85.4609375
Band 94,-82.1953125
Band 95,-91.8203125
Band 96,-88.7265625
Band 97,-94.359375
Band 98,-98.7890625
Band 99,-102.640625
Band 100,-109.0625
Band 101,-111.3984375
Band 102,-110.484375
/meters,"b'2\x00\x00\x00\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x80\x00\x808\x80\x8e\x82*\x83\xe0\x84\xc4\x85\x00\x80\x00\x80\xd8\x83\x9e\x87\x9a\x8a\xc4\x8e\xc4\x95\xd2\x9b\xe8\xa08\xa4d\xa8$\xaf\xdc\xb5\x0e\xc1`\xbf\xce\xb7 \xba\x86\xb9\x94\xb7\xf8\xbd\xd0\xbcR\xb0\xac\xb3*\xc4$\xc2L\xba\x18\xbc$\xb4\xfe\xb5\x84\xbd\xdc\xbf4\xbb\xde\xc02\xb5\xda\xb6\xf2\xb5.\xb7""\xb2V\xb3,\xb6\xec\xb5(\xb3f\xb9(\xaa\x86\xb3\x94\xab<\xad&\xa8L\xa9\xc4\xaf\xec\xad(\xad\x08\xaa\xe0\xa7\xfa\xb3\x12\xb4\x80\xb4\x9a\xb94\xbcD\xba\xa4\xb2^\xb9\x14\xbdN\xb7\xf2\xb8\xfc\xba\xa2\xb8\xc4\xb0z\xb2\xd4\xab\x8a\xaa\xce\xad.\xa4F\xa7\xa4\xa16\x9d\\\x99\xf0\x92\x9a\x90\x84\x91'"
Band 1,0.1953125
Band 2,0.0
Band 3,-128.0
Band 4,-128.0
Band 5,-128.0
Band 6,-128.0
Band 7,-128.0
Band 8,-128.0
Band 9,-128.0
Band 10,-128.0
Band 11,-128.0
Band 12,-128.0
Band 13,-128.0
Band 14,-128.0
Band 15,-128.0
Band 16,-127.34375
Band 17,-128.0
Band 18,-126.671875
Band 19,-124.328125
Band 20,-123.71875
Band 21,-122.0078125
Band 22,-121.1171875
Band 23,-128.0
Band 24,-128.0
Band 25,-123.046875
Band 26,-119.265625
Band 27,-116.2890625
Band 28,-112.1171875
Band 29,-105.125
Band 30,-99.0625
Band 31,-93.9765625
Band 32,-90.671875
Band 33,-88.28125
Band 34,-86.328125
Band 35,-73.0234375
Band 36,-61.8359375
Band 37,-63.5078125
Band 38,-71.0859375
Band 39,-68.7578125
Band 40,-69.359375
Band 41,-71.3046875
Band 42,-64.9140625
Band 43,-66.078125
Band 44,-78.5703125
Band 45,-75.21875
Band 46,-58.71875
Band 47,-60.7421875
Band 48,-68.59375
Band 49,-66.7890625
Band 50,-74.75
Band 51,-72.890625
Band 52,-65.375
Band 53,-63.0234375
Band 54,-67.6796875
Band 55,-62.015625
Band 56,-73.6875
Band 57,-72.0390625
Band 58,-72.9375
Band 59,-71.7109375
Band 60,-76.75
Band 61,-75.546875
Band 62,-72.7109375
Band 63,-72.96875
Band 64,-75.7265625
Band 65,-69.484375
Band 66,-84.7265625
Band 67,-75.3671875
Band 68,-83.3125
Band 69,-81.6484375
Band 70,-86.7421875
Band 71,-85.5859375
Band 72,-79.1171875
Band 73,-80.9609375
Band 74,-81.7265625
Band 75,-84.8515625
Band 76,-87.0078125
Band 77,-74.90625
Band 78,-74.8125
Band 79,-74.3828125
Band 80,-69.28125
Band 81,-66.6796875
Band 82,-70.5390625
Band 83,-76.2421875
Band 84,-69.515625
Band 85,-65.8046875
Band 86,-71.5859375
Band 87,-69.9375
Band 88,-67.8984375
Band 89,-70.25
Band 90,-78.125
Band 91,-76.40625
Band 92,-83.0546875
Band 93,-84.34375
Band 94,-81.078125
Band 95,-90.703125
Band 96,-87.609375
Band 97,-93.2421875
Band 98,-97.671875
Band 99,-101.5234375
Band 100,-107.953125
Band 101,-113.984375
Band 102,-111.921875
